epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2259,1.63707,4.5222,1.57029,0.00283,0.87179,0.03072,0.01368,1.08066,4.12883,1.1564,0.00018,0.00018,0.00018
2,48.2361,1.26488,3.35018,1.23625,0.00317,0.97436,0.54147,0.34466,0.90387,3.67743,0.94441,0.00037373,0.00037373,0.00037373
3,73.1695,1.08391,2.30386,1.12242,0.00325,1,0.67459,0.29802,0.95518,3.45556,0.96275,0.00056086,0.00056086,0.00056086
4,96.4089,1.21095,2.35693,1.10378,0.00325,1,0.53604,0.21265,0.77728,3.51479,0.92365,0.00074139,0.00074139,0.00074139
5,121.653,1.25838,2.34941,1.04891,0.00325,1,0.12632,0.0286,0.93615,3.63677,0.99318,0.00091532,0.00091532,0.00091532
6,145.606,1.3642,2.89972,1.24435,0.00325,1,0.43358,0.26531,1.0783,3.58169,1.02554,0.00108265,0.00108265,0.00108265
7,166.704,1.35646,2.86047,1.10519,0.00325,1,0.43358,0.26531,1.0783,3.58169,1.02554,0.00124338,0.00124338,0.00124338
8,188.1,1.33831,2.11769,1.1121,0.81621,0.11503,0.48784,0.33769,0.9592,3.48637,1.00324,0.00139751,0.00139751,0.00139751
9,209.451,1.2696,1.96107,1.0612,0.87244,0.17581,0.59443,0.33051,1.31371,3.47038,1.10747,0.00154504,0.00154504,0.00154504
10,229.935,1.48027,1.8225,1.12928,0.87244,0.17581,0.59443,0.33051,1.31371,3.47038,1.10747,0.00168597,0.00168597,0.00168597
11,255.133,1.32798,1.80373,1.10912,0.64297,0.50806,0.65508,0.39363,1.17313,3.00923,1.07194,0.00167,0.00167,0.00167
12,279.772,1.12713,1.5729,0.9929,0.83072,0.88092,0.90393,0.63946,1.01365,2.08599,1.01773,0.001637,0.001637,0.001637
13,301.998,1.11311,1.82419,1.03744,0.83072,0.88092,0.90393,0.63946,1.01365,2.08599,1.01773,0.001604,0.001604,0.001604
14,326.426,1.18818,1.62807,1.07623,0.88453,0.92308,0.97343,0.69739,1.04563,1.90049,1.01581,0.001571,0.001571,0.001571
15,350.649,1.09229,1.55522,1.03735,0.9167,0.92308,0.92889,0.6168,1.13293,1.71219,1.02304,0.001538,0.001538,0.001538
16,375.667,1.10394,1.42848,0.98422,0.9167,0.92308,0.92889,0.6168,1.13293,1.71219,1.02304,0.001505,0.001505,0.001505
17,397.456,1.17971,2.0412,1.17845,0.88568,0.99335,0.94129,0.6351,1.04219,1.61083,1.00892,0.001472,0.001472,0.001472
18,422.124,0.96553,1.46821,0.97128,0.88568,0.99335,0.94129,0.6351,1.04219,1.61083,1.00892,0.001439,0.001439,0.001439
19,445.421,1.05869,1.48819,1.00061,0.9508,0.99113,0.96402,0.6906,0.9945,1.77831,0.97776,0.001406,0.001406,0.001406
20,466.797,1.04452,1.4388,0.9946,0.96657,1,0.99125,0.7148,0.98363,1.53016,0.97108,0.001373,0.001373,0.001373
21,487.758,1.10344,1.43987,1.03451,0.96657,1,0.99125,0.7148,0.98363,1.53016,0.97108,0.00134,0.00134,0.00134
22,509.009,1.02967,1.38067,0.99206,0.40182,0.66667,0.46018,0.33179,0.90789,2.66744,0.96484,0.001307,0.001307,0.001307
23,531.875,1.13802,1.54918,1.09262,0.97024,1,0.99075,0.70357,0.95859,1.41094,0.97404,0.001274,0.001274,0.001274
